Date,Close,High,Low,Open,Volume
8/9/2016,12.89731789,13.155264,12.82638224,13.05853436,800900
8/10/2016,12.84572887,12.9295609,12.74899923,12.86507529,632600
8/11/2016,12.62647247,12.87152094,12.56198565,12.83282933,760100
8/12/2016,12.69096279,12.84573048,12.66839258,12.68451398,465500
8/15/2016,12.74899673,12.86184775,12.6941825,12.81348356,813900
8/16/2016,12.76189613,12.81348535,12.71675449,12.74899852,641700
8/17/2016,12.74899673,12.78768834,12.61357428,12.76189435,550400
8/18/2016,12.81993389,12.85862673,12.71675544,12.71675544,589700
8/19/2016,12.88441849,12.88441849,12.65871521,12.72965084,679900
8/22/2016,12.8715229,12.89731813,12.73932544,12.87797171,634700
8/23/2016,12.75544643,12.94245688,12.72965121,12.83282964,599100
8/24/2016,12.67806244,12.75544688,12.65871602,12.69096005,350300
8/25/2016,12.70386314,12.75867617,12.6522739,12.6716191,355300
8/26/2016,12.69096279,12.76834602,12.54909149,12.71675679,463400
8/29/2016,12.65227032,12.76834515,12.60712867,12.70385954,811700
8/30/2016,12.64581966,12.69096008,12.52974361,12.69096008,643200
8/31/2016,12.71711636,12.80137805,12.5226643,12.63933529,2345400
9/1/2016,12.27636051,12.47081134,12.15968952,12.44488514,2306000
9/2/2016,12.14672661,12.38006861,12.05598305,12.28932381,1619700
9/6/2016,12.12728119,12.21802599,12.00412957,12.15320863,1438300
9/7/2016,12.05597973,12.14672326,12.0041261,12.1013515,1185200
9/8/2016,12.04301929,12.08190922,11.90042209,12.00412937,1371100
9/9/2016,11.82264423,11.98468706,11.73838251,11.96524147,1393100
9/12/2016,12.03653622,12.05598179,11.76430433,11.85504911,1876800
9/13/2016,11.79671669,12.02357563,11.75134367,12.00413128,1224500
9/14/2016,11.8485651,11.96523483,11.78374776,11.84208324,1132800
9/15/2016,11.96523857,11.98468415,11.81615951,11.88097687,957100
9/16/2016,11.90042496,11.98468668,11.82264386,11.93283303,844600
9/19/2016,11.98468399,12.02357391,11.89394043,11.92634849,853000
9/20/2016,11.99764824,12.00737041,11.9133853,11.99116638,1087700
